metroid,metroname,m_w_a_09,m_b_a_09,m_h_a_09,m_a_a_09,m_o_a_09,m_t_a_09,m_pw_a_09,m_pb_a_09,m_ph_a_09,m_pa_a_09,m_po_a_09,m_dwb_a_09,m_dwh_a_09,m_dwa_a_09,m_dbw_a_09,m_dbh_a_09,m_dba_a_09,m_dhw_a_09,m_dhb_a_09,m_dha_a_09,m_daw_a_09,m_dab_a_09,m_dah_a_09,m_w_a_00,m_b_a_00,m_h_a_00,m_a_a_00,m_o_a_00,m_t_a_00,m_pw_a_00,m_pb_a_00,m_ph_a_00,m_pa_a_00,m_po_a_00,m_dwb_a_00,m_dwh_a_00,m_dwa_a_00,m_dbw_a_00,m_dbh_a_00,m_dba_a_00,m_dhw_a_00,m_dhb_a_00,m_dha_a_00,m_daw_a_00,m_dab_a_00,m_dah_a_00,m_w_a_90,m_b_a_90,m_h_a_90,m_a_a_90,m_o_a_90,m_t_a_90,m_pw_a_90,m_pb_a_90,m_ph_a_90,m_pa_a_90,m_po_a_90,m_dwb_a_90,m_dwh_a_90,m_dwa_a_90,m_dbw_a_90,m_dbh_a_90,m_dba_a_90,m_dhw_a_90,m_dhb_a_90,m_dha_a_90,m_daw_a_90,m_dab_a_90,m_dah_a_90,m_w_a_80,m_b_a_80,m_h_a_80,m_a_a_80,m_o_a_80,m_t_a_80,m_pw_a_80,m_pb_a_80,m_ph_a_80,m_pa_a_80,m_po_a_80,m_dwb_a_80,m_dwh_a_80,m_dwa_a_80,m_dbw_a_80,m_dbh_a_80,m_dba_a_80,m_dhw_a_80,m_dhb_a_80,m_dha_a_80,m_daw_a_80,m_dab_a_80,m_dah_a_80
"10,180","Abilene, TX Metropolitan Statistical Area","111,007","10,649","31,849","2,048","3,557","159,110",69.77,6.69,20.02,1.29,2.24,49.66,37.64,44.96,49.66,32.64,56.42,37.64,32.64,54.40,44.96,56.42,54.40,"117,573","11,302","27,486","2,280","1,604","160,245",73.37,7.05,17.15,1.42,1.00,45.20,39.17,30.11,45.20,34.54,41.35,39.17,34.54,46.28,30.11,41.35,46.28,"117,214","7,989","20,786","1,404",611,"148,004",79.20,5.40,14.04,0.95,0.41,43.94,41.12,32.06,43.94,35.87,37.24,41.12,35.87,50.11,32.06,37.24,50.11,"114,111","7,350","16,106",791,834,"139,192",81.98,5.28,11.57,0.57,0.60,50.87,39.92,28.59,50.87,44.12,44.40,39.92,44.12,43.51,28.59,44.40,43.51
"10,420","Akron, OH Metropolitan Statistical Area","586,633","82,853","8,233","12,249","10,254","700,222",83.78,11.83,1.18,1.75,1.46,62.67,45.77,47.81,62.67,57.58,64.07,45.77,57.58,58.37,47.81,64.07,58.37,"593,445","80,180","5,874","10,403","5,058","694,960",85.39,11.54,0.85,1.50,0.73,64.81,25.71,36.49,64.81,46.66,56.84,25.71,46.66,28.00,36.49,56.84,28.00,"581,228","64,713","3,815","6,081","1,738","657,575",88.39,9.84,0.58,0.92,0.26,68.95,22.43,39.75,68.95,57.06,66.00,22.43,57.06,36.49,39.75,66.00,36.49,"591,572","59,947","3,500","2,936","2,373","660,328",89.59,9.08,0.53,0.44,0.36,73.59,23.69,34.80,73.59,59.15,76.87,23.69,59.15,38.43,34.80,76.87,38.43
"10,500","Albany, GA Metropolitan Statistical Area","76,720","81,567","2,479","1,441","1,509","163,716",46.86,49.82,1.51,0.88,0.92,53.51,49.93,51.00,53.51,59.57,70.25,49.93,59.57,55.91,51.00,70.25,55.91,"76,986","76,959","2,079","1,033",776,"157,833",48.78,48.76,1.32,0.65,0.49,54.30,31.71,28.05,54.30,36.76,56.64,31.71,36.76,36.40,28.05,56.64,36.40,"78,946","65,559","1,211",510,348,"146,574",53.86,44.73,0.83,0.35,0.24,55.85,33.33,33.86,55.85,45.28,58.88,33.33,45.28,34.79,33.86,58.88,34.79,"65,135","45,280","1,235",372,380,"112,402",57.95,40.28,1.10,0.33,0.34,67.50,46.18,28.49,67.50,35.25,64.99,46.18,35.25,37.01,28.49,64.99,37.01
"10,580","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","724,844","57,421","27,989","23,934","17,974","852,162",85.06,6.74,3.28,2.81,2.11,64.03,41.35,47.96,64.03,38.58,61.92,41.35,38.58,49.55,47.96,61.92,49.55,"725,965","55,506","20,365","18,167","5,872","825,875",87.90,6.72,2.47,2.20,0.71,60.72,37.87,40.49,60.72,28.80,53.28,37.87,28.80,38.11,40.49,53.28,38.11,"747,189","37,725","12,153","10,252","2,124","809,443",92.31,4.66,1.50,1.27,0.26,61.55,32.05,40.93,61.55,39.86,57.88,32.05,39.86,36.29,40.93,57.88,36.29,"699,032","28,561","6,511","4,673","2,700","741,477",94.28,3.85,0.88,0.63,0.36,63.68,27.57,41.61,63.68,47.76,62.40,27.57,47.76,39.50,41.61,62.40,39.50
"10,740","Albuquerque, NM Metropolitan Statistical Area","364,322","21,906","370,025","15,887","59,033","831,173",43.83,2.64,44.52,1.91,7.10,43.53,36.82,39.90,43.53,41.52,49.65,36.82,41.52,54.64,39.90,49.65,54.64,"349,963","18,817","302,656","14,873","43,340","729,649",47.96,2.58,41.48,2.04,5.94,30.66,39.75,24.85,30.66,33.85,26.56,39.75,33.85,47.68,24.85,26.56,47.68,"327,238","13,188","222,307","7,306","29,377","599,416",54.59,2.20,37.09,1.22,4.90,38.02,40.50,25.66,38.02,40.46,31.64,40.50,40.46,51.19,25.66,31.64,51.19,"254,087","9,618","164,200","3,309","23,285","454,499",55.90,2.12,36.13,0.73,5.12,40.23,45.00,31.45,40.23,44.51,31.87,45.00,44.51,54.42,31.45,31.87,54.42
"10,780","Alexandria, LA Metropolitan Statistical Area","101,189","43,646","3,219","1,276","2,583","151,913",66.61,28.73,2.12,0.84,1.70,62.56,32.84,47.09,62.56,66.46,54.80,32.84,66.46,55.82,47.09,54.80,55.82,"98,918","40,971","1,952","1,324","1,870","145,035",68.20,28.25,1.35,0.91,1.29,62.03,24.85,42.82,62.03,54.92,54.33,24.85,54.92,42.22,42.82,54.33,42.22,"106,671","39,188","1,679",908,636,"149,082",71.55,26.29,1.13,0.61,0.43,58.81,18.76,42.91,58.81,51.85,63.63,18.76,51.85,31.86,42.91,63.63,31.86,"110,129","38,813","1,781",550,712,"151,985",72.46,25.54,1.17,0.36,0.47,64.20,25.71,39.77,64.20,49.19,66.30,25.71,49.19,29.45,39.77,66.30,29.45
"10,900","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","657,056","30,093","87,171","18,774","10,016","803,110",81.81,3.75,10.85,2.34,1.25,54.32,56.62,43.01,54.32,34.98,56.06,56.62,34.98,62.05,43.01,56.06,62.05,"646,834","21,669","54,358","13,265","4,269","740,395",87.36,2.93,7.34,1.79,0.58,50.43,59.98,35.70,50.43,28.74,40.72,59.98,28.74,49.88,35.70,40.72,49.88,"637,155","12,428","28,885","7,116","1,104","686,688",92.79,1.81,4.21,1.04,0.16,53.63,58.20,37.60,53.63,34.38,47.48,58.20,34.38,53.90,37.60,47.48,53.90,"606,640","8,774","15,379","3,001","1,687","635,481",95.46,1.38,2.42,0.47,0.27,58.75,56.18,36.06,58.75,38.55,56.10,56.18,38.55,59.59,36.06,56.10,59.59
"11,020","Altoona, PA Metropolitan Statistical Area","121,488","1,839",920,657,"1,080","125,984",96.43,1.46,0.73,0.52,0.86,48.83,41.96,67.62,48.83,52.86,70.70,41.96,52.86,76.54,67.62,70.70,76.54,"125,641","1,804",662,621,416,"129,144",97.29,1.40,0.51,0.48,0.32,47.77,26.32,28.30,47.77,33.24,50.03,26.32,33.24,33.07,28.30,50.03,33.07,"128,525","1,056",431,372,158,"130,542",98.45,0.81,0.33,0.28,0.12,51.34,28.17,38.53,51.34,49.39,53.06,28.17,49.39,33.59,38.53,53.06,33.59,"134,844",952,405,231,189,"136,621",98.70,0.70,0.30,0.17,0.14,56.78,20.73,26.73,56.78,57.50,55.33,20.73,57.50,35.20,26.73,55.33,35.20
"11,100","Amarillo, TX Metropolitan Statistical Area","161,163","13,926","56,847","4,941","4,982","241,859",66.64,5.76,23.50,2.04,2.06,64.37,47.20,56.35,64.37,47.12,72.45,47.20,47.12,58.69,56.35,72.45,58.69,"162,808","13,304","43,213","4,357","2,840","226,522",71.87,5.87,19.08,1.92,1.25,63.29,46.83,53.16,63.29,45.51,60.97,46.83,45.51,52.68,53.16,60.97,52.68,"156,350","9,553","25,799","3,071","1,371","196,144",79.71,4.87,13.15,1.57,0.70,63.67,44.92,63.58,63.67,53.35,60.89,44.92,53.35,58.49,63.58,60.89,58.49,"147,075","8,443","14,897","1,526","1,758","173,699",84.67,4.86,8.58,0.88,1.01,72.88,41.79,47.89,72.88,68.19,64.93,41.79,68.19,48.21,47.89,64.93,48.21
"11,180","Ames, IA Metropolitan Statistical Area","75,340","1,789","1,787","4,773","1,091","84,780",88.87,2.11,2.11,5.63,1.29,48.63,25.84,42.21,48.63,54.19,42.38,25.84,54.19,47.59,42.21,42.38,47.59,"72,221","1,655","1,238","4,447",420,"79,981",90.30,2.07,1.55,5.56,0.53,32.98,22.31,39.27,32.98,16.62,23.90,22.31,16.62,22.34,39.27,23.90,22.34,"68,666","1,170",840,"3,433",143,"74,252",92.48,1.58,1.13,4.62,0.19,43.19,37.02,44.50,43.19,16.43,28.56,37.02,16.43,22.15,44.50,28.56,22.15,"69,023",782,617,"1,228",676,"72,326",95.43,1.08,0.85,1.70,0.93,41.59,31.78,43.48,41.59,16.88,18.65,31.78,16.88,24.33,43.48,18.65,24.33
