metroID,metroName,City,State,09WhiteCount,09BlackCount,09HispCount,09AsianCount,09OtherCount,09TotalCount,09WhitePerc,09BlackPerc,09HispPerc,09AsianPerc,09OtherPerc,09WhiteBlackDiss,09WhiteHispDiss,09WhiteAsianDiss,09BlackHispDiss,09BlackAsianDiss,09HispAsianDiss,00WhitsCount,00BlackCount,00HispCount,00AsianCount,00OtherCount,00TotalCount,00WhitePerc,00BlackPerc,00HispPerc,00AsianPerc,00OtherPerc,00WhiteBlackDiss,00WhiteHispDiss,00WhiteAsianDiss,00BlackHispDiss,00BlackAsianDiss,00HispAsianDiss,90WhitsCount,90BlackCount,90HispCount,90AsianCount,90OtherCount,90TotalCount,90WhitePerc,90BlackPerc,90HispPerc,90AsianPerc,90OtherPerc,90WhiteBlackDiss,90WhiteHispDiss,90WhiteAsianDiss,90BlackHispDiss,90BlackAsianDiss,90HispAsianDiss,80WhitsCount,80BlackCount,80HispCount,80AsianCount,80OtherCount,80TotalCount,80WhitePerc,80BlackPerc,80HispPerc,80AsianPerc,80OtherPerc,80WhiteBlackDiss,80WhiteHispDiss,80WhiteAsianDiss,80BlackHispDiss,80BlackAsianDiss,80HispAsianDiss,county_fips,county_name,lat,lng,seg_loc.lng.1,seg_loc.lat.1,RaceCrimes_1993,RaceCrimes_1994,RaceCrimes_1995,RaceCrimes_1996,RaceCrimes_1997,RaceCrimes_1999,RaceCrimes_2000,RaceCrimes_2001,RaceCrimes_2002,RaceCrimes_2003,RaceCrimes_2004,RaceCrimes_2005,RaceCrimes_2006,RaceCrimes_2007,RaceCrimes_2008,RaceCrimes_2009,RaceCrimes_2010,RaceCrimes_2011,RaceCrimes_2012,RaceCrimes_2013,RaceCrimes_2014,RaceCrimes_2015,RaceCrimes_2016,RaceCrimes_2017,RaceCrimes_2018,RaceCrimes_2019,RaceCrimes_1992,RaceCrimes_1998,RaceCrimes_1991,ReligionCrimes_1993,ReligionCrimes_1994,ReligionCrimes_1995,ReligionCrimes_1996,ReligionCrimes_1997,ReligionCrimes_1999,ReligionCrimes_2000,ReligionCrimes_2001,ReligionCrimes_2002,ReligionCrimes_2003,ReligionCrimes_2004,ReligionCrimes_2005,ReligionCrimes_2006,ReligionCrimes_2007,ReligionCrimes_2008,ReligionCrimes_2009,ReligionCrimes_2010,ReligionCrimes_2011,ReligionCrimes_2012,ReligionCrimes_2013,ReligionCrimes_2014,ReligionCrimes_2015,ReligionCrimes_2016,ReligionCrimes_2017,ReligionCrimes_2018,ReligionCrimes_2019,ReligionCrimes_1992,ReligionCrimes_1998,ReligionCrimes_1991,SexCrimes_1993,SexCrimes_1994,SexCrimes_1995,SexCrimes_1996,SexCrimes_1997,SexCrimes_1999,SexCrimes_2000,SexCrimes_2001,SexCrimes_2002,SexCrimes_2003,SexCrimes_2004,SexCrimes_2005,SexCrimes_2006,SexCrimes_2007,SexCrimes_2008,SexCrimes_2009,SexCrimes_2010,SexCrimes_2011,SexCrimes_2012,SexCrimes_2013,SexCrimes_2014,SexCrimes_2015,SexCrimes_2016,SexCrimes_2017,SexCrimes_2018,SexCrimes_2019,SexCrimes_1992,SexCrimes_1998,SexCrimes_1991,GenderCrimes_1993,GenderCrimes_1994,GenderCrimes_1995,GenderCrimes_1996,GenderCrimes_1997,GenderCrimes_1999,GenderCrimes_2000,GenderCrimes_2001,GenderCrimes_2002,GenderCrimes_2003,GenderCrimes_2004,GenderCrimes_2005,GenderCrimes_2006,GenderCrimes_2007,GenderCrimes_2008,GenderCrimes_2009,GenderCrimes_2010,GenderCrimes_2011,GenderCrimes_2012,GenderCrimes_2013,GenderCrimes_2014,GenderCrimes_2015,GenderCrimes_2016,GenderCrimes_2017,GenderCrimes_2018,GenderCrimes_2019,GenderCrimes_1992,GenderCrimes_1998,GenderCrimes_1991,DisabilityCrimes_1993,DisabilityCrimes_1994,DisabilityCrimes_1995,DisabilityCrimes_1996,DisabilityCrimes_1997,DisabilityCrimes_1999,DisabilityCrimes_2000,DisabilityCrimes_2001,DisabilityCrimes_2002,DisabilityCrimes_2003,DisabilityCrimes_2004,DisabilityCrimes_2005,DisabilityCrimes_2006,DisabilityCrimes_2007,DisabilityCrimes_2008,DisabilityCrimes_2009,DisabilityCrimes_2010,DisabilityCrimes_2011,DisabilityCrimes_2012,DisabilityCrimes_2013,DisabilityCrimes_2014,DisabilityCrimes_2015,DisabilityCrimes_2016,DisabilityCrimes_2017,DisabilityCrimes_2018,DisabilityCrimes_2019,DisabilityCrimes_1992,DisabilityCrimes_1998,DisabilityCrimes_1991,DisCrimesTotal,GenderCrimesTotal,SexCrimesTotal,ReligionCrimesTotal,RaceCrimesTotal
10180,"Abilene, TX Metropolitan Statistical Area",Abilene,TX,111007,10649,31849,2048,3557,159110,69.77,6.69,20.02,1.29,2.24,49.66,37.64,44.96,32.64,56.42,54.4,117573,11302,27486,2280,1604,160245,73.37,7.05,17.15,1.42,1,45.2,39.17,30.11,34.54,41.35,46.28,117214,7989,20786,1404,611,148004,79.2,5.4,14.04,0.95,0.41,43.94,41.12,32.06,35.87,37.24,50.11,114111,7350,16106,791,834,139192,81.98,5.28,11.57,0.57,0.6,50.87,39.92,28.59,44.12,44.4,43.51,48441,Taylor,32.4543,-99.7384,24693.313252951288,-1392194.687736858,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,11
10420,"Akron, OH Metropolitan Statistical Area",Akron,OH,586633,82853,8233,12249,10254,700222,83.78,11.83,1.18,1.75,1.46,62.67,45.77,47.81,57.58,64.07,58.37,593445,80180,5874,10403,5058,694960,85.39,11.54,0.85,1.5,0.73,64.81,25.71,36.49,46.66,56.84,28,581228,64713,3815,6081,1738,657575,88.39,9.84,0.58,0.92,0.26,68.95,22.43,39.75,57.06,66,36.49,591572,59947,3500,2936,2373,660328,89.59,9.08,0.53,0.44,0.36,73.59,23.69,34.8,59.15,76.87,38.43,39153,Summit,41.0798,-81.5219,1533566.8035440808,-262457.6755941394,36,31,22,0,0,8,10,15,13,9,11,6,8,10,13,10,10,9,7,6,2,4,3,10,5,1,61,1,0,0,1,0,0,0,2,0,1,2,0,2,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,1,2,1,0,0,2,0,1,3,5,0,2,1,0,2,0,2,0,1,1,0,0,2,1,0,0,0,2,1,1,1,1,0,0,2,0,1,3,4,0,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,2,0,0,0,10,26,30,13,321
10500,"Albany, GA Metropolitan Statistical Area",Albany,GA,76720,81567,2479,1441,1509,163716,46.86,49.82,1.51,0.88,0.92,53.51,49.93,51,59.57,70.25,55.91,76986,76959,2079,1033,776,157833,48.78,48.76,1.32,0.65,0.49,54.3,31.71,28.05,36.76,56.64,36.4,78946,65559,1211,510,348,146574,53.86,44.73,0.83,0.35,0.24,55.85,33.33,33.86,45.28,58.88,34.79,65135,45280,1235,372,380,112402,57.95,40.28,1.1,0.33,0.34,67.5,46.18,28.49,35.25,64.99,37.01,13095,Dougherty,31.5776,-84.1762,1498921.7965679727,-1350485.7547131188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Albany,NY,724844,57421,27989,23934,17974,852162,85.06,6.74,3.28,2.81,2.11,64.03,41.35,47.96,38.58,61.92,49.55,725965,55506,20365,18167,5872,825875,87.9,6.72,2.47,2.2,0.71,60.72,37.87,40.49,28.8,53.28,38.11,747189,37725,12153,10252,2124,809443,92.31,4.66,1.5,1.27,0.26,61.55,32.05,40.93,39.86,57.88,36.29,699032,28561,6511,4673,2700,741477,94.28,3.85,0.88,0.63,0.36,63.68,27.57,41.61,47.76,62.4,39.5,36001,Albany,42.6664,-73.7987,2097044.3413413784,82079.6386060774,13,22,19,19,5,0,0,0,0,0,3,16,0,0,9,3,9,5,1,1,1,3,2,4,5,5,6,0,7,4,6,3,4,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,1,0,0,0,4,1,4,0,13,0,2,4,2,0,0,0,0,0,1,3,1,0,0,0,2,2,2,1,0,1,0,0,0,3,3,3,0,1,0,2,4,2,0,0,0,0,0,1,3,1,0,0,0,2,2,2,1,0,1,0,0,0,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,47,158
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Schenectady,NY,724844,57421,27989,23934,17974,852162,85.06,6.74,3.28,2.81,2.11,64.03,41.35,47.96,38.58,61.92,49.55,725965,55506,20365,18167,5872,825875,87.9,6.72,2.47,2.2,0.71,60.72,37.87,40.49,28.8,53.28,38.11,747189,37725,12153,10252,2124,809443,92.31,4.66,1.5,1.27,0.26,61.55,32.05,40.93,39.86,57.88,36.29,699032,28561,6511,4673,2700,741477,94.28,3.85,0.88,0.63,0.36,63.68,27.57,41.61,47.76,62.4,39.5,36093,Schenectady,42.8025,-73.9276,2082487.6644950898,93315.87482106632,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,13
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Troy,NY,724844,57421,27989,23934,17974,852162,85.06,6.74,3.28,2.81,2.11,64.03,41.35,47.96,38.58,61.92,49.55,725965,55506,20365,18167,5872,825875,87.9,6.72,2.47,2.2,0.71,60.72,37.87,40.49,28.8,53.28,38.11,747189,37725,12153,10252,2124,809443,92.31,4.66,1.5,1.27,0.26,61.55,32.05,40.93,39.86,57.88,36.29,699032,28561,6511,4673,2700,741477,94.28,3.85,0.88,0.63,0.36,63.68,27.57,41.61,47.76,62.4,39.5,36083,Rensselaer,42.7354,-73.6751,2104102.989703031,92680.27500122294,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,10
10740,"Albuquerque, NM Metropolitan Statistical Area",Albuquerque,NM,364322,21906,370025,15887,59033,831173,43.83,2.64,44.52,1.91,7.1,43.53,36.82,39.9,41.52,49.65,54.64,349963,18817,302656,14873,43340,729649,47.96,2.58,41.48,2.04,5.94,30.66,39.75,24.85,33.85,26.56,47.68,327238,13188,222307,7306,29377,599416,54.59,2.2,37.09,1.22,4.9,38.02,40.5,25.66,40.46,31.64,51.19,254087,9618,164200,3309,23285,454499,55.9,2.12,36.13,0.73,5.12,40.23,45,31.45,44.51,31.87,54.42,35001,Bernalillo,35.1053,-106.6464,-606105.3004470452,-1075064.8907389794,2,6,10,17,17,10,3,3,9,6,9,9,6,10,4,4,15,13,0,5,5,7,7,4,21,25,0,12,0,2,1,2,7,1,1,5,2,1,2,2,1,0,0,0,0,1,3,0,1,4,2,9,2,23,7,0,5,0,0,1,2,7,6,2,5,3,3,2,4,1,4,1,2,5,5,8,0,4,1,3,9,1,3,6,0,10,0,0,1,2,6,5,2,5,3,3,2,4,1,4,1,2,5,5,8,0,4,1,3,9,1,4,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,97,98,84,239
10780,"Alexandria, LA Metropolitan Statistical Area",Alexandria,LA,101189,43646,3219,1276,2583,151913,66.61,28.73,2.12,0.84,1.7,62.56,32.84,47.09,66.46,54.8,55.82,98918,40971,1952,1324,1870,145035,68.2,28.25,1.35,0.91,1.29,62.03,24.85,42.82,54.92,54.33,42.22,106671,39188,1679,908,636,149082,71.55,26.29,1.13,0.61,0.43,58.81,18.76,42.91,51.85,63.63,31.86,110129,38813,1781,550,712,151985,72.46,25.54,1.17,0.36,0.47,64.2,25.71,39.77,49.19,66.3,29.45,22079,Rapides,31.2923,-92.4702,719504.2124115096,-1489127.6127102973,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",Allentown,PA,657056,30093,87171,18774,10016,803110,81.81,3.75,10.85,2.34,1.25,54.32,56.62,43.01,34.98,56.06,62.05,646834,21669,54358,13265,4269,740395,87.36,2.93,7.34,1.79,0.58,50.43,59.98,35.7,28.74,40.72,49.88,637155,12428,28885,7116,1104,686688,92.79,1.81,4.21,1.04,0.16,53.63,58.2,37.6,34.38,47.48,53.9,606640,8774,15379,3001,1687,635481,95.46,1.38,2.42,0.47,0.27,58.75,56.18,36.06,38.55,56.1,59.59,42077,Lehigh,40.5961,-75.4756,2034299.523962234,-182975.5083033167,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",Bethlehem,PA,657056,30093,87171,18774,10016,803110,81.81,3.75,10.85,2.34,1.25,54.32,56.62,43.01,34.98,56.06,62.05,646834,21669,54358,13265,4269,740395,87.36,2.93,7.34,1.79,0.58,50.43,59.98,35.7,28.74,40.72,49.88,637155,12428,28885,7116,1104,686688,92.79,1.81,4.21,1.04,0.16,53.63,58.2,37.6,34.38,47.48,53.9,606640,8774,15379,3001,1687,635481,95.46,1.38,2.42,0.47,0.27,58.75,56.18,36.06,38.55,56.1,59.59,42095,Northampton,40.6266,-75.3679,2041932.0548093796,-177000.33581765176,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
