St,City,RaceCrimes_1993,RaceCrimes_1994,RaceCrimes_1995,RaceCrimes_1996,RaceCrimes_1997,RaceCrimes_1999,RaceCrimes_2000,RaceCrimes_2001,RaceCrimes_2002,RaceCrimes_2003,RaceCrimes_2004,RaceCrimes_2005,RaceCrimes_2006,RaceCrimes_2007,RaceCrimes_2008,RaceCrimes_2009,RaceCrimes_2010,RaceCrimes_2011,RaceCrimes_2012,RaceCrimes_2013,RaceCrimes_2014,RaceCrimes_2015,RaceCrimes_2016,RaceCrimes_2017,RaceCrimes_2018,RaceCrimes_2019,RaceCrimes_1992,RaceCrimes_1998,RaceCrimes_1991,ReligionCrimes_1993,ReligionCrimes_1994,ReligionCrimes_1995,ReligionCrimes_1996,ReligionCrimes_1997,ReligionCrimes_1999,ReligionCrimes_2000,ReligionCrimes_2001,ReligionCrimes_2002,ReligionCrimes_2003,ReligionCrimes_2004,ReligionCrimes_2005,ReligionCrimes_2006,ReligionCrimes_2007,ReligionCrimes_2008,ReligionCrimes_2009,ReligionCrimes_2010,ReligionCrimes_2011,ReligionCrimes_2012,ReligionCrimes_2013,ReligionCrimes_2014,ReligionCrimes_2015,ReligionCrimes_2016,ReligionCrimes_2017,ReligionCrimes_2018,ReligionCrimes_2019,ReligionCrimes_1992,ReligionCrimes_1998,ReligionCrimes_1991,SexCrimes_1993,SexCrimes_1994,SexCrimes_1995,SexCrimes_1996,SexCrimes_1997,SexCrimes_1999,SexCrimes_2000,SexCrimes_2001,SexCrimes_2002,SexCrimes_2003,SexCrimes_2004,SexCrimes_2005,SexCrimes_2006,SexCrimes_2007,SexCrimes_2008,SexCrimes_2009,SexCrimes_2010,SexCrimes_2011,SexCrimes_2012,SexCrimes_2013,SexCrimes_2014,SexCrimes_2015,SexCrimes_2016,SexCrimes_2017,SexCrimes_2018,SexCrimes_2019,SexCrimes_1992,SexCrimes_1998,SexCrimes_1991,GenderCrimes_1993,GenderCrimes_1994,GenderCrimes_1995,GenderCrimes_1996,GenderCrimes_1997,GenderCrimes_1999,GenderCrimes_2000,GenderCrimes_2001,GenderCrimes_2002,GenderCrimes_2003,GenderCrimes_2004,GenderCrimes_2005,GenderCrimes_2006,GenderCrimes_2007,GenderCrimes_2008,GenderCrimes_2009,GenderCrimes_2010,GenderCrimes_2011,GenderCrimes_2012,GenderCrimes_2013,GenderCrimes_2014,GenderCrimes_2015,GenderCrimes_2016,GenderCrimes_2017,GenderCrimes_2018,GenderCrimes_2019,GenderCrimes_1992,GenderCrimes_1998,GenderCrimes_1991,DisabilityCrimes_1993,DisabilityCrimes_1994,DisabilityCrimes_1995,DisabilityCrimes_1996,DisabilityCrimes_1997,DisabilityCrimes_1999,DisabilityCrimes_2000,DisabilityCrimes_2001,DisabilityCrimes_2002,DisabilityCrimes_2003,DisabilityCrimes_2004,DisabilityCrimes_2005,DisabilityCrimes_2006,DisabilityCrimes_2007,DisabilityCrimes_2008,DisabilityCrimes_2009,DisabilityCrimes_2010,DisabilityCrimes_2011,DisabilityCrimes_2012,DisabilityCrimes_2013,DisabilityCrimes_2014,DisabilityCrimes_2015,DisabilityCrimes_2016,DisabilityCrimes_2017,DisabilityCrimes_2018,DisabilityCrimes_2019,DisabilityCrimes_1992,DisabilityCrimes_1998,DisabilityCrimes_1991,DisCrimesTotal,GenderCrimesTotal,SexCrimesTotal,ReligionCrimesTotal,RaceCrimesTotal,lat,lng,hc_loc.lng.1,hc_loc.lat.1
AK,Bethel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,60.7928,-161.7917,-1424524.473138094,-2086315.7630304147
AK,Juneau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,58.4546,-134.1739,-771434.7065454687,-2073995.6716553988
AK,Kotzebue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66.8766,-162.5231,-1424576.9016591804,-1774228.6976093678
AK,North Pole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64.753,-147.36,-1135427.0342440484,-1862426.397629206
AK,Soldotna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,60.4862,-151.0672,-1182584.967579489,-2088183.6032404564
AK,Wasilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.577,-149.466,-1154802.7713929934,-2028112.3504368616
AL,Abbeville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31.5664,-85.2528,1398402.967225298,-1369920.4611103686
AL,Adamsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33.6063,-86.9745,1206485.9584367692,-1172309.321332141
AL,Alabaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33.2198,-86.8225,1226315.0130569213,-1212610.0368022064
AL,Andalusia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.3101,-86.4781,1287321.293899383,-1417204.6535788102
